GeneSymbol,Control_mean,APOEhi_mean,log2FC_APOEhi_vs_Control,p_value,FDR,significance
IFIT3,12.43,1.0133333333333334,-3.615338619048356,6.039284689075664e-08,0.0006922832039087434,Downregulated
MX1,7.003333333333333,0.3866666666666667,-4.17535914657697,3.5807750590913205e-07,0.0009351929988418538,Downregulated
GORASP2,19.493333333333332,46.88333333333333,1.2660511001798238,2.8919971012206145e-07,0.0009351929988418538,Upregulated
ATF3,4.216666666666666,69.51666666666667,4.0428626747181475,4.0791808376596607e-07,0.0009351929988418538,Upregulated
SERPINB4,0.02,139.53,12.697908736993666,2.2852182132761792e-07,0.0009351929988418538,Upregulated
AGRN,13.113333333333335,5.3500000000000005,-1.2932640360641399,5.345891935214756e-07,0.0009849934412070522,Downregulated
TMEM26-AS1,0.05000000000000001,6.013333333333333,6.881763771530386,6.014964746095582e-07,0.0009849934412070522,Upregulated
GFI1,17.22,2.526666666666667,-2.7682907931934198,1.6453104548871956e-06,0.0012737891178034057,Downregulated
OAS2,14.853333333333333,1.42,-3.3859053983728638,1.4758083975934347e-06,0.0012737891178034057,Downregulated
SGK1,2.7899999999999996,8.446666666666665,1.597770784649082,2.3651517370232625e-06,0.0012737891178034057,Upregulated
LRRC4,14.533333333333333,1.513333333333333,-3.2627101890872825,1.666299322026298e-06,0.0012737891178034057,Downregulated
PXMP4,1.7133333333333336,0.7766666666666667,-1.140423846368258,1.7900504009263198e-06,0.0012737891178034057,Downregulated
HERPUD1,49.11666666666667,292.36,2.5734369410689277,1.804317182697143e-06,0.0012737891178034057,Upregulated
RIPOR1,6.72,4.173333333333333,-0.6871300950676705,2.0880709696434816e-06,0.0012737891178034057,Not significant
TGM2,3.7099999999999995,113.23333333333333,4.9313596470830845,2.4177737046367997e-06,0.0012737891178034057,Upregulated
CD163,58.02333333333333,324.3,2.482603525400027,2.1356837933000798e-06,0.0012737891178034057,Upregulated
PPFIA4,3.1933333333333334,0.6133333333333333,-2.3784212976847905,9.263707491429798e-07,0.0012737891178034057,Downregulated
OTULINL,18.099999999999998,7.376666666666666,-1.2948328893837264,1.7815792485787204e-06,0.0012737891178034057,Downregulated
FGD3,9.696666666666665,4.45,-1.1235081647184761,2.184995622502252e-06,0.0012737891178034057,Downregulated
IGFBP3,14.49,1.3933333333333333,-3.3775097539610774,2.4446794549136287e-06,0.0012737891178034057,Downregulated
SLC22A16,18.13,7.6433333333333335,-1.2459959039756274,2.314607956812238e-06,0.0012737891178034057,Downregulated
TNFSF10,4.16,1.0766666666666667,-1.94901928163983,2.3418446247183943e-06,0.0012737891178034057,Downregulated
PDLIM1,2.7300000000000004,1.25,-1.1263475245994667,2.7196186383469805e-06,0.0013554342804944102,Downregulated
INHBE,4.543333333333334,25.036666666666665,2.4619595519915114,2.885076798995381e-06,0.0013779848061201687,Upregulated
SIGLEC1,14.530000000000001,2.4233333333333333,-2.5834740096434654,3.237037628759039e-06,0.001395199518486726,Downregulated
CYP19A1,5.646666666666667,21.236666666666668,1.9108984229626085,3.286259007165803e-06,0.001395199518486726,Upregulated
COL6A1,27.72666666666667,81.97,1.563787381983891,3.1879884973066004e-06,0.001395199518486726,Upregulated
LPL,30.406666666666666,165.65333333333334,2.4456689227364072,3.5342127020761683e-06,0.0014468814358535398,Upregulated
GATD1,7.12,3.1666666666666665,-1.1686593239613758,5.221896027885769e-06,0.0014646155618403618,Downregulated
CCL13,0.36333333333333334,78.11333333333333,7.744184489849755,5.2385272647173375e-06,0.0014646155618403618,Upregulated
ENAH,1.9333333333333333,9.87,2.3513598188176372,5.102772167749662e-06,0.0014646155618403618,Upregulated
DNAJB9,25.33666666666667,183.27999999999997,2.854701656641818,4.518077455837447e-06,0.0014646155618403618,Upregulated
LYZ,650.0100000000001,36.99,-4.135217925427282,5.165336698179052e-06,0.0014646155618403618,Downregulated
UPF1,14.526666666666666,10.046666666666665,-0.5319424974364675,5.1438711643914436e-06,0.0014646155618403618,Not significant
CAPN1,16.540000000000003,9.483333333333333,-0.8024281831618315,4.499221621745068e-06,0.0014646155618403618,Not significant
DCAF4L1,0.3166666666666667,2.1566666666666667,2.763886384625676,3.934197631533419e-06,0.0014646155618403618,Upregulated
RASSF4,17.146666666666665,7.969999999999999,-1.1051796443423625,4.809428023726052e-06,0.0014646155618403618,Downregulated
TNFRSF11A,4.3500000000000005,0.51,-3.0899518206029084,3.7407046388683664e-06,0.0014646155618403618,Downregulated
CXCL8,14.219999999999999,89.20666666666666,2.649144786532186,4.774547680418513e-06,0.0014646155618403618,Upregulated
NFE2L2,12.703333333333333,22.2,0.805303990188949,4.556670358655422e-06,0.0014646155618403618,Not significant
RAB7B,68.42,17.433333333333334,-1.9725079914676795,4.254028992957371e-06,0.0014646155618403618,Downregulated
LILRA2,4.466666666666667,0.4166666666666667,-3.41909763618734,5.428156342073434e-06,0.001481498955933042,Downregulated
BPI,0.5366666666666666,9.386666666666665,4.125982678387295,5.614288343996065e-06,0.0014864657630378863,Upregulated
EPSTI1,13.983333333333334,2.14,-2.7074547778890823,5.705704752130071e-06,0.0014864657630378863,Downregulated
RND3,14.243333333333334,64.63,2.181838211930948,6.17484685037613e-06,0.0015729393210191461,Upregulated
MX2,7.243333333333333,1.86,-1.960774875110096,6.545187768899475e-06,0.0016310323346716235,Downregulated
RIOK2,7.933333333333334,15.90333333333333,1.003238985600259,6.83774223633421e-06,0.0016329383178145633,Upregulated
THAP9-AS1,13.24,24.636666666666667,0.8958535478025493,6.782911956540055e-06,0.0016329383178145633,Not significant
